row_id,customer_id,customer_name,segment
1,CG-12520,Claire Gute,Consumer
2,CG-12520,Claire Gute,Consumer
3,DV-13045,Darrin Van Huff,Corporate
4,SO-20335,Sean O'Donnell,Consumer
5,SO-20335,Sean O'Donnell,Consumer
6,BH-11710,Brosina Hoffman,Consumer
7,BH-11710,Brosina Hoffman,Consumer
8,BH-11710,Brosina Hoffman,Consumer
9,BH-11710,Brosina Hoffman,Consumer
10,BH-11710,Brosina Hoffman,Consumer
11,BH-11710,Brosina Hoffman,Consumer
12,BH-11710,Brosina Hoffman,Consumer
13,AA-10480,Andrew Allen,Consumer
14,IM-15070,Irene Maddox,Consumer
15,HP-14815,Harold Pawlan,Home Office
16,HP-14815,Harold Pawlan,Home Office
17,PK-19075,Pete Kriz,Consumer
18,AG-10270,Alejandro Grove,Consumer
19,ZD-21925,Zuschuss Donatelli,Consumer
20,ZD-21925,Zuschuss Donatelli,Consumer
21,ZD-21925,Zuschuss Donatelli,Consumer
22,KB-16585,Ken Black,Corporate
23,KB-16585,Ken Black,Corporate
24,SF-20065,Sandra Flanagan,Consumer
25,EB-13870,Emily Burns,Consumer
26,EH-13945,Eric Hoffmann,Consumer
27,EH-13945,Eric Hoffmann,Consumer
28,TB-21520,Tracy Blumstein,Consumer
29,TB-21520,Tracy Blumstein,Consumer
30,TB-21520,Tracy Blumstein,Consumer
31,TB-21520,Tracy Blumstein,Consumer
32,TB-21520,Tracy Blumstein,Consumer
33,TB-21520,Tracy Blumstein,Consumer
34,TB-21520,Tracy Blumstein,Consumer
35,MA-17560,Matt Abelman,Home Office
36,GH-14485,Gene Hale,Corporate
37,GH-14485,Gene Hale,Corporate
38,SN-20710,Steve Nguyen,Home Office
39,SN-20710,Steve Nguyen,Home Office
40,SN-20710,Steve Nguyen,Home Office
41,SN-20710,Steve Nguyen,Home Office
42,LC-16930,Linda Cazamias,Corporate
43,RA-19885,Ruben Ausman,Corporate
44,ES-14080,Erin Smith,Corporate
45,ON-18715,Odella Nelson,Corporate
46,ON-18715,Odella Nelson,Corporate
47,PO-18865,Patrick O'Donnell,Consumer
48,LH-16900,Lena Hernandez,Consumer
49,LH-16900,Lena Hernandez,Consumer
50,DP-13000,Darren Powers,Consumer
51,DP-13000,Darren Powers,Consumer
52,DP-13000,Darren Powers,Consumer
53,DP-13000,Darren Powers,Consumer
54,JM-15265,Janet Molinari,Corporate
55,JM-15265,Janet Molinari,Corporate
56,TB-21055,Ted Butterfield,Consumer
57,TB-21055,Ted Butterfield,Consumer
58,TB-21055,Ted Butterfield,Consumer
59,TB-21055,Ted Butterfield,Consumer
60,TB-21055,Ted Butterfield,Consumer
61,TB-21055,Ted Butterfield,Consumer
62,TB-21055,Ted Butterfield,Consumer
63,KM-16720,Kunst Miller,Consumer
64,KM-16720,Kunst Miller,Consumer
65,KM-16720,Kunst Miller,Consumer
66,KM-16720,Kunst Miller,Consumer
67,PS-18970,Paul Stevenson,Home Office
68,BS-11590,Brendan Sweed,Corporate
69,BS-11590,Brendan Sweed,Corporate
70,KD-16270,Karen Daniels,Consumer
71,HM-14980,Henry MacAllister,Consumer
72,TB-21520,Tracy Blumstein,Consumer
73,JE-15745,Joel Eaton,Consumer
74,JE-15745,Joel Eaton,Consumer
75,JE-15745,Joel Eaton,Consumer
76,KB-16600,Ken Brennan,Corporate
77,KB-16600,Ken Brennan,Corporate
78,KB-16600,Ken Brennan,Corporate
79,JE-15745,Joel Eaton,Consumer
80,SC-20770,Stewart Carmichael,Corporate
81,SC-20770,Stewart Carmichael,Corporate
82,DN-13690,Duane Noonan,Consumer
83,DN-13690,Duane Noonan,Consumer
84,JC-16105,Julie Creighton,Corporate
85,CS-12400,Christopher Schild,Home Office
86,PO-18865,Patrick O'Donnell,Consumer
87,PG-18895,Paul Gonzalez,Consumer
88,PG-18895,Paul Gonzalez,Consumer
89,GM-14455,Gary Mitchum,Home Office
90,JS-15685,Jim Sink,Corporate
91,JS-15685,Jim Sink,Corporate
92,JS-15685,Jim Sink,Corporate
93,KB-16315,Karl Braun,Consumer
94,KB-16315,Karl Braun,Consumer
95,KB-16315,Karl Braun,Consumer
96,RB-19705,Roger Barcio,Home Office
97,PN-18775,Parhena Norris,Home Office
98,KD-16345,Katherine Ducich,Consumer
99,ER-13855,Elpida Rittenbach,Corporate
100,RB-19465,Rick Bensley,Home Office
101,RB-19465,Rick Bensley,Home Office
102,RB-19465,Rick Bensley,Home Office
103,GZ-14470,Gary Zandusky,Consumer
104,LC-16870,Lena Cacioppo,Consumer
105,LC-16870,Lena Cacioppo,Consumer
106,LC-16870,Lena Cacioppo,Consumer
107,JM-15250,Janet Martin,Consumer
108,JM-15250,Janet Martin,Consumer
109,JM-15250,Janet Martin,Consumer
110,PA-19060,Pete Armstrong,Home Office
111,CV-12805,Cynthia Voltz,Corporate
112,CL-12565,Clay Ludtke,Consumer
113,CL-12565,Clay Ludtke,Consumer
114,RC-19960,Ryan Crowe,Consumer
115,RC-19960,Ryan Crowe,Consumer
116,RC-19960,Ryan Crowe,Consumer
117,RC-19960,Ryan Crowe,Consumer
118,DK-13090,Dave Kipp,Consumer
119,GG-14650,Greg Guthrie,Corporate
120,SC-20725,Steven Cartwright,Consumer
121,SC-20725,Steven Cartwright,Consumer
122,SC-20725,Steven Cartwright,Consumer
123,SC-20725,Steven Cartwright,Consumer
124,SC-20725,Steven Cartwright,Consumer
125,AD-10180,Alan Dominguez,Home Office
126,PF-19165,Philip Fox,Consumer
127,TS-21610,Troy Staebel,Consumer
128,TS-21610,Troy Staebel,Consumer
129,LS-16975,Lindsay Shagiari,Home Office
130,LS-16975,Lindsay Shagiari,Home Office
131,DW-13585,Dorothy Wardle,Corporate
132,DW-13585,Dorothy Wardle,Corporate
133,DW-13585,Dorothy Wardle,Corporate
134,LC-16885,Lena Creighton,Consumer
135,LC-16885,Lena Creighton,Consumer
136,LC-16885,Lena Creighton,Consumer
137,LC-16885,Lena Creighton,Consumer
138,LC-16885,Lena Creighton,Consumer
139,LC-16885,Lena Creighton,Consumer
140,LC-16885,Lena Creighton,Consumer
141,JD-15895,Jonathan Doherty,Corporate
142,SH-19975,Sally Hughsby,Corporate
143,SH-19975,Sally Hughsby,Corporate
144,SH-19975,Sally Hughsby,Corporate
145,SG-20080,Sandra Glassco,Consumer
146,HA-14920,Helen Andreada,Consumer
147,MG-17680,Maureen Gastineau,Home Office
148,JE-16165,Justin Ellison,Corporate
149,JE-16165,Justin Ellison,Corporate
150,JE-16165,Justin Ellison,Corporate
151,JE-16165,Justin Ellison,Corporate
152,TW-21025,Tamara Willingham,Home Office
153,TW-21025,Tamara Willingham,Home Office
154,SP-20650,Stephanie Phelps,Corporate
155,SP-20650,Stephanie Phelps,Corporate
156,SP-20650,Stephanie Phelps,Corporate
157,NK-18490,Neil Knudson,Home Office
158,DB-13060,Dave Brooks,Consumer
159,NP-18670,Nora Paige,Consumer
160,NP-18670,Nora Paige,Consumer
161,TT-21070,Ted Trevino,Consumer
162,EM-13960,Eric Murdock,Consumer
163,RD-19900,Ruben Dartt,Consumer
164,MJ-17740,Max Jones,Consumer
165,BM-11140,Becky Martin,Consumer
166,BM-11140,Becky Martin,Consumer
167,BM-11140,Becky Martin,Consumer
168,BM-11140,Becky Martin,Consumer
169,BM-11140,Becky Martin,Consumer
170,BM-11140,Becky Martin,Consumer
171,BM-11140,Becky Martin,Consumer
172,CS-12130,Chad Sievert,Consumer
173,CS-12130,Chad Sievert,Consumer
174,CS-12130,Chad Sievert,Consumer
175,JB-15400,Jennifer Braxton,Corporate
176,JB-15400,Jennifer Braxton,Corporate
177,SJ-20500,Shirley Jackson,Consumer
178,JE-15745,Joel Eaton,Consumer
179,JE-15745,Joel Eaton,Consumer
180,JK-15640,Jim Kriz,Home Office
181,DK-13150,David Kendrick,Corporate
182,DK-13150,David Kendrick,Corporate
183,RM-19675,Robert Marley,Home Office
184,RM-19675,Robert Marley,Home Office
185,RM-19675,Robert Marley,Home Office
186,SK-19990,Sally Knutson,Consumer
187,FM-14290,Frank Merwin,Home Office
188,AM-10360,Alice McCarthy,Corporate
189,AM-10360,Alice McCarthy,Corporate
190,MP-17470,Mark Packer,Home Office
191,MP-17470,Mark Packer,Home Office
192,MP-17470,Mark Packer,Home Office
193,MP-17470,Mark Packer,Home Office
194,MP-17470,Mark Packer,Home Office
195,MZ-17515,Mary Zewe,Corporate
196,CB-12025,Cassandra Brandow,Consumer
197,CB-12025,Cassandra Brandow,Consumer
198,VM-21685,Valerie Mitchum,Home Office
199,FH-14365,Fred Hopkins,Corporate
200,FH-14365,Fred Hopkins,Corporate
201,MB-17305,Maria Bertelson,Consumer
202,BS-11755,Bruce Stewart,Consumer
203,BS-11755,Bruce Stewart,Consumer
204,LC-17140,Logan Currie,Consumer
205,HK-14890,Heather Kirkland,Corporate
206,LE-16810,Laurel Elliston,Consumer
207,JH-15985,Joseph Holt,Consumer
208,JH-15985,Joseph Holt,Consumer
209,JH-15985,Joseph Holt,Consumer
210,JH-15985,Joseph Holt,Consumer
211,JH-15985,Joseph Holt,Consumer
212,MS-17980,Michael Stewart,Corporate
213,VW-21775,Victoria Wilson,Corporate
214,VW-21775,Victoria Wilson,Corporate
215,VW-21775,Victoria Wilson,Corporate
216,VW-21775,Victoria Wilson,Corporate
217,VW-21775,Victoria Wilson,Corporate
218,JH-15910,Jonathan Howell,Consumer
219,JH-15910,Jonathan Howell,Consumer
220,JB-15925,Joni Blumstein,Consumer
221,JB-15925,Joni Blumstein,Consumer
222,JB-15925,Joni Blumstein,Consumer
223,JB-15925,Joni Blumstein,Consumer
224,JB-15925,Joni Blumstein,Consumer
225,JB-15925,Joni Blumstein,Consumer
226,DS-13180,David Smith,Corporate
227,DS-13180,David Smith,Corporate
228,DS-13180,David Smith,Corporate
229,VD-21670,Valerie Dominguez,Consumer
230,VD-21670,Valerie Dominguez,Consumer
231,EA-14035,Erin Ashbrook,Corporate
232,CS-12400,Christopher Schild,Home Office
233,CS-12400,Christopher Schild,Home Office
234,CS-12400,Christopher Schild,Home Office
235,CS-12400,Christopher Schild,Home Office
236,CS-12400,Christopher Schild,Home Office
237,DB-13120,David Bremer,Corporate
238,KL-16645,Ken Lonsdale,Consumer
239,KL-16645,Ken Lonsdale,Consumer
240,KL-16645,Ken Lonsdale,Consumer
241,KL-16645,Ken Lonsdale,Consumer
242,KL-16645,Ken Lonsdale,Consumer
243,KL-16645,Ken Lonsdale,Consumer
244,KL-16645,Ken Lonsdale,Consumer
245,DW-13480,Dianna Wilson,Home Office
246,DW-13480,Dianna Wilson,Home Office
247,DW-13480,Dianna Wilson,Home Office
248,DW-13480,Dianna Wilson,Home Office
249,DW-13480,Dianna Wilson,Home Office
250,LH-17155,Logan Haushalter,Consumer
251,KC-16540,Kelly Collister,Consumer
252,KC-16540,Kelly Collister,Consumer
253,DL-13315,Delfina Latchford,Consumer
254,DL-13315,Delfina Latchford,Consumer
255,DR-12880,Dan Reichenbach,Corporate
256,DR-12880,Dan Reichenbach,Corporate
257,DR-12880,Dan Reichenbach,Corporate
258,DR-12880,Dan Reichenbach,Corporate
259,CC-12670,Craig Carreira,Consumer
260,CC-12670,Craig Carreira,Consumer
261,CC-12670,Craig Carreira,Consumer
262,Dl-13600,Dorris liebe,Corporate
263,SB-20290,Sean Braxton,Corporate
264,SB-20290,Sean Braxton,Corporate
265,RC-19825,Roy Collins,Consumer
266,AH-10210,Alan Hwang,Consumer
267,CB-12535,Claudia Bergmann,Corporate
268,PG-18895,Paul Gonzalez,Consumer
269,CA-12310,Christine Abelman,Corporate
270,CA-12310,Christine Abelman,Corporate
271,KH-16690,Kristen Hastings,Corporate
272,HA-14920,Helen Andreada,Consumer
273,HA-14920,Helen Andreada,Consumer
274,HA-14920,Helen Andreada,Consumer
275,BB-10990,Barry Blumstein,Corporate
276,BB-10990,Barry Blumstein,Corporate
277,AG-10495,Andrew Gjertsen,Corporate
278,AG-10495,Andrew Gjertsen,Corporate
279,AG-10495,Andrew Gjertsen,Corporate
280,AG-10495,Andrew Gjertsen,Corporate
281,SC-20725,Steven Cartwright,Consumer
282,SC-20725,Steven Cartwright,Consumer
283,JO-15280,Jas O'Carroll,Consumer
284,TB-21520,Tracy Blumstein,Consumer
285,TB-21520,Tracy Blumstein,Consumer
286,TB-21520,Tracy Blumstein,Consumer
287,AH-10195,Alan Haines,Corporate
288,AH-10195,Alan Haines,Corporate
289,AH-10195,Alan Haines,Corporate
290,NZ-18565,Nick Zandusky,Home Office
291,NZ-18565,Nick Zandusky,Home Office
292,NZ-18565,Nick Zandusky,Home Office
293,NZ-18565,Nick Zandusky,Home Office
294,KL-16555,Kelly Lampkin,Corporate
295,KL-16555,Kelly Lampkin,Corporate
296,KL-16555,Kelly Lampkin,Corporate
297,KL-16555,Kelly Lampkin,Corporate
298,KL-16555,Kelly Lampkin,Corporate
299,JD-15895,Jonathan Doherty,Corporate
300,JD-15895,Jonathan Doherty,Corporate
301,JD-15895,Jonathan Doherty,Corporate
302,JD-15895,Jonathan Doherty,Corporate
303,JD-15895,Jonathan Doherty,Corporate
304,JH-15910,Jonathan Howell,Consumer
305,AS-10225,Alan Schoenberger,Corporate
306,KB-16600,Ken Brennan,Corporate
307,CR-12625,Corey Roper,Home Office
308,CR-12625,Corey Roper,Home Office
309,SH-20395,Shahid Hopkins,Consumer
310,BP-11185,Ben Peterman,Corporate
311,BP-11185,Ben Peterman,Corporate
312,BP-11185,Ben Peterman,Corporate
313,BP-11185,Ben Peterman,Corporate
314,TS-21205,Thomas Seio,Corporate
315,AG-10525,Andy Gerbode,Corporate
316,AG-10525,Andy Gerbode,Corporate
317,SP-20860,Sung Pak,Corporate
318,NM-18445,Nathan Mautz,Home Office
319,NM-18445,Nathan Mautz,Home Office
320,NM-18445,Nathan Mautz,Home Office
